id,name,type,type_code,address,location,lon,lat,tel,pname,cityname,adname,business_area,tag,timestamp,rating,cost,tourism_score,traffic_score,facility_score
B0I6Y7URLT,红子鸡凤凰楼,餐饮服务;中餐厅;综合酒楼,050101,澳门路188号(江宁路地铁站1号口步行370米),"121.444867,31.247621",121.444867,31.247621,021-62661188,上海市,上海市,普陀区,,,2026-01-29 09:13:31,4.8,137.0,0.4897959183673469,0.0,0.7499999999999999
B00156Y4J9,农家菜老大(松江店),餐饮服务;中餐厅;中餐厅,050100,沪松公路6351号,"121.259257,31.038399",121.259257,31.038399,021-57709999,上海市,上海市,松江区,,,2026-01-29 09:13:31,4.8,93.0,1.0,0.0,0.625
B0H01HNRB6,四季民福烤鸭店(外滩外白渡桥店),餐饮服务;中餐厅;中餐厅,050100,吴淞路130号城投控股大厦辅楼F3层,"121.490444,31.247145",121.490444,31.247145,021-56056620;13310199575,上海市,上海市,虹口区,,,2026-01-29 09:13:31,4.8,184.0,0.4897959183673469,0.0,0.37499999999999994
B0FFJBZBG2,点都德(环宇荟店),餐饮服务;快餐厅;茶餐厅,050305,黄陂南路838弄环宇荟B1层(地铁9/13号线马当路站5号口),"121.476543,31.211745",121.476543,31.211745,021-63333213;13564839929,上海市,上海市,黄浦区,,,2026-01-29 09:13:31,4.7,104.0,0.47959183673469397,0.0,0.7499999999999999
B0HUZZIIMZ,浩海火烧云傣家菜(新天地广场店),餐饮服务;中餐厅;云贵菜,050114,淮海中路333号6层07室,"121.473930,31.222148",121.47393,31.222148,021-63288790,上海市,上海市,黄浦区,,,2026-01-29 09:13:31,4.8,109.0,1.0,0.0,0.37499999999999994
B0J6CSLTZZ,人和馆(静安寺店),餐饮服务;中餐厅;中餐厅,050100,愚园路142号(静安寺地铁站出入口步行190米),"121.445131,31.224396",121.445131,31.224396,021-62668003,上海市,上海市,静安区,,,2026-01-29 09:13:31,4.7,154.0,0.47959183673469397,0.0,0.37499999999999994
B00156FMDD,贯贯吉清真餐厅Guanguanji qingzhen restaurant,餐饮服务;中餐厅;清真菜馆,050121,浙江中路70-2号,"121.480649,31.231398",121.480649,31.231398,021-63220039,上海市,上海市,黄浦区,,,2026-01-29 09:13:31,4.7,105.0,0.47959183673469397,0.0,0.37499999999999994
B0JGLHAP4F,潇湘阁(吴江路湟普汇店),餐饮服务;中餐厅;湖南菜(湘菜),050108,吴江路269号湟普汇商场3层,"121.459079,31.229216",121.459079,31.229216,021-52995213,上海市,上海市,静安区,,,2026-01-29 09:13:31,4.8,87.0,0.4897959183673469,0.0,0.625
B0KRK7AGKZ,李百蟹·蟹黄面·江景餐厅(外滩·豫园店),餐饮服务;中餐厅;海鲜酒楼,050119,外滩22号中山东二路22号3楼(正对外滩江景、东方明珠、三件套),"121.493949,31.230833",121.493949,31.230833,18601445562,上海市,上海市,黄浦区,,,2026-01-29 09:13:31,4.8,100.0,0.4897959183673469,0.0,0.7499999999999999
B0L1NUX1KY,外滩家宴·上海菜(外滩豫园店),餐饮服务;中餐厅;中餐厅,050100,外滩街道外滩22号中山东二路22号2楼,"121.493942,31.230724",121.493942,31.230724,13127934208,上海市,上海市,黄浦区,,,2026-01-29 09:13:31,4.7,135.0,0.47959183673469397,0.0,0.37499999999999994
B001557EGG,莱莱小笼,餐饮服务;中餐厅;中餐厅,050100,天津路506号,"121.477126,31.236125",121.477126,31.236125,021-63520230,上海市,上海市,黄浦区,,,2026-01-29 09:13:31,4.8,67.0,0.4897959183673469,0.0,0.625
