name,x,y,address,type,city,demand
故宫博物院,116.397029,39.917839,景山前街4号,风景名胜;风景名胜;世界遗产|科教文化服务;博物馆;博物馆,北京,24.86745192512479
天安门广场,116.397755,39.903182,东长安街,风景名胜;风景名胜;红色景区|风景名胜;公园广场;城市广场,北京,17.03295005957993
天安门,116.397463,39.909187,长安街北侧,风景名胜;风景名胜;国家级景点,北京,6.471228235535696
天坛公园,116.410829,39.881913,天坛东里甲1号,风景名胜;公园广场;公园,北京,20.514425678434314
前门大街,116.403895,39.896152,小江胡同1号(前门地铁站G东南口步行320米),购物服务;特色商业街;特色商业街|风景名胜;风景名胜相关;旅游景点,北京,16.62830232627597
景山公园,116.396551,39.925875,景山西街44号,风景名胜;公园广场;公园,北京,11.408109284519252
毛主席纪念堂,116.397815,39.902517,前门东大街11号(天安门广场人民英雄纪念碑南面),风景名胜;风景名胜;纪念馆,北京,16.57744920228362
故宫博物院-午门,116.397228,39.913582,东华门街道景山前街4号故宫博物院内(南侧),风景名胜;风景名胜;风景名胜,北京,20.778122563880853
中山公园,116.394407,39.910707,中华路4号(天安门西侧),风景名胜;公园广场;公园,北京,20.077780909096177
天安门-城楼,116.397488,39.908717,东长安街天安门(天安门东地铁站A西北入口步行290米),风景名胜;风景名胜;国家级景点,北京,20.88250374981011
天安门广场-国旗,116.397554,39.906928,东华门街道景山前街4号天安门广场内(北侧),风景名胜;风景名胜;风景名胜,北京,10.471746856695079
南锣鼓巷,116.402394,39.937182,交道口街道南大街(南锣鼓巷地铁站E西北口旁),风景名胜;风景名胜;风景名胜,北京,7.186822515681257
北海公园,116.391802,39.928775,文津街1号,风景名胜;公园广场;公园,北京,6.741186660128755
太庙,116.399898,39.911374,东华门街道东长安街北京市劳动人民文化宫,风景名胜;风景名胜;寺庙道观,北京,19.413233437774977
景山公园-绮望楼,116.39672,39.924029,什刹海街道景山西街44号(故宫后门对面)景山公园内(南侧),风景名胜;风景名胜;风景名胜,北京,14.266864721009963
故宫博物院-神武门,116.396786,39.922305,景山前街4号北京故宫博物馆,风景名胜;风景名胜;国家级景点,北京,23.657718439354714
什刹海,116.385121,39.941893,地安门西大街49号,风景名胜;风景名胜;国家级景点,北京,7.295898065835393
天坛公园-祈年殿,116.412867,39.883659,天坛街道天坛东路甲1号天坛公园内,风景名胜;风景名胜;风景名胜,北京,12.89440863920986
正阳门箭楼,116.39791,39.899368,前门大街2号前门商业区A2地块,风景名胜;风景名胜;风景名胜,北京,9.037020009943264
雍和宫,116.417296,39.947239,雍和宫大街28号(雍和宫地铁站F东南口步行250米),风景名胜;风景名胜;风景名胜,北京,15.928991708016355
恭王府博物馆,116.386315,39.937222,前海西街17号,风景名胜;风景名胜;国家级景点,北京,13.196661230728871
北京明城墙遗址公园,116.427901,39.901264,崇文门东大街9号,风景名胜;公园广场;公园,北京,14.204126647000868
老舍故居,116.408367,39.91863,灯市口西街丰富胡同19号,风景名胜;风景名胜;纪念馆,北京,18.019755736055554
日坛公园,116.443795,39.915538,朝外街道朝阳门外日坛北路6号,风景名胜;公园广场;公园,北京,24.443211746649332
陶然亭公园,116.381921,39.874496,太平街19号,风景名胜;公园广场;公园,北京,14.977673548816936
鼓楼,116.395937,39.940781,钟楼湾胡同临字9号(什刹海地铁站A2西北口步行240米),风景名胜;风景名胜;风景名胜,北京,12.939166743925893
天主教北京总教区王府井天主堂东堂,116.411945,39.917288,王府井大街74号,风景名胜;风景名胜;教堂,北京,11.046481177669511
颐和园,116.275179,39.999617,新建宫门路19号,风景名胜;风景名胜;世界遗产,北京,7.127614401407589
敕建火德真君庙,116.395569,39.937013,地安门外大街77号(什刹海地铁站C口马路对面),风景名胜;风景名胜;寺庙道观,北京,15.246858771562419
龙潭中湖公园,116.432072,39.876755,左安门内大街19号,风景名胜;公园广场;公园,北京,20.381260915470957
北京悬空玻璃艺术馆,116.412114,39.915876,王府井大街银泰in88二层南侧(金鱼胡同地铁站B东口旁),风景名胜;风景名胜相关;旅游景点,北京,5.871911088886542
故宫博物院-养心殿,116.395676,39.919765,景山前街4号故宫博物院内,风景名胜;风景名胜;风景名胜,北京,17.15430565318814
北大红楼,116.405361,39.92471,五四大街29号,风景名胜;风景名胜;纪念馆,北京,16.64687222928028
东岳庙,116.44377,39.924932,朝阳门外大街141号,风景名胜;风景名胜;寺庙道观,北京,20.645449077831664
景山公园-万春亭,116.396715,39.924863,景山西街44号景山公园内,风景名胜;风景名胜;风景名胜,北京,16.861098277359186
法源寺,116.36988,39.885385,法源寺前街7号,风景名胜;风景名胜;寺庙道观,北京,6.780992812275411
北京东交民巷使馆建筑群,116.41262,39.901299,崇文门东交民巷(崇文门地铁站A1西北口步行290米),风景名胜;风景名胜相关;旅游景点,北京,8.068051839585742
正阳门城楼,116.397902,39.900583,前门大街北端,风景名胜;风景名胜相关;旅游景点,北京,11.053844908560977
广济寺,116.372321,39.924971,阜成门内大街25号(西四地铁站B东北口步行200米),风景名胜;风景名胜;寺庙道观,北京,17.382727402203695
人民英雄纪念碑,116.397691,39.904632,天安门广场(长安街中心),风景名胜;风景名胜;红色景区|风景名胜;风景名胜;纪念馆,北京,24.84022348899112
妙应寺白塔,116.363323,39.925652,阜成门内大街171号,风景名胜;风景名胜;寺庙道观,北京,16.8793431860963
国子监,116.413285,39.946777,国子监街13-15号,风景名胜;风景名胜;国家级景点,北京,8.223712292888807
故宫博物院-东北角楼,116.401021,39.922473,景山前街4号北京故宫博物馆,风景名胜;风景名胜;风景名胜,北京,18.68419066067001
